프로젝트코드 ,조사장비 ,좌표계코드 ,조사자,조사시작일,조사종료일,측선번호 ,순번 ,시작 X좌표 ,시작 Y좌표 ,종료 X좌표 ,종료 Y좌표 ,TM X좌표,TM Y좌표,경위도 X좌표,경위도 Y좌표,겉보기 비저항(ohm-m) 
B4794,Terrameter SAS 4000,5186,,,,6,1,299786.3592,357767.0958,299849.2104,357689.3157,,,,,
B4794,Terrameter SAS 4000,5186,,,,15,1,300226.3334,357186.9924,300284.2326,357105.4591,,,,,
B4794,Terrameter SAS 4000,5186,,,,11,1,300242.3371,357198.9875,300300.2363,357117.4542,,,,,
B4794,Terrameter SAS 4000,5186,,,,10,1,300246.338,357201.9862,300304.2373,357120.4529,,,,,
B4794,Terrameter SAS 4000,5186,,,,9,1,299860.9469,357762.095,299787.8754,357693.8267,,,,,
B4794,Terrameter SAS 4000,5186,,,,8,1,299857.9987,357765.7747,299784.5384,357697.925,,,,,
B4794,Terrameter SAS 4000,5186,,,,7,1,299782.4703,357763.9533,299845.3214,357686.1732,,,,,
B4794,Terrameter SAS 4000,5186,,,,5,1,299790.2483,357770.2384,299853.0994,357692.4583,,,,,
B4794,Terrameter SAS 4000,5186,,,,13,1,300234.3353,357192.99,300292.2345,357111.4567,,,,,
B4794,Terrameter SAS 4000,5186,,,,23,1,300853.9596,356150.3835,300758.567,356180.3878,,,,,
B4794,Terrameter SAS 4000,5186,,,,2,1,298048.2188,359925.45,298664.0033,359163.0791,,,,,
B4794,Terrameter SAS 4000,5186,,,,21,1,300856.4959,356160.0565,300761.1033,356190.0608,,,,,
B4794,Terrameter SAS 4000,5186,,,,22,1,300855.2277,356155.22,300759.8352,356185.2243,,,,,
B4794,Terrameter SAS 4000,5186,,,,3,1,299798.0263,357776.5235,299860.8774,357698.7434,,,,,
B4794,Terrameter SAS 4000,5186,,,,14,1,300230.3343,357189.9912,300288.2336,357108.4579,,,,,
B4908,ABEM SAS-4000,5183,,,,2,1,148743.2247,312978.8229,148347.648,313374.5603,-191586.092,245866.0957,148743.2247,313374.5603,
B4908,ABEM SAS-4000,5183,,,,1,1,149336.0922,312290.6395,149262.1832,312663.1577,474347.5768,432403.3095,149336.0922,312663.1577,
B4912,"SAS-4000(ABEM, Sweden)",5193,,,,1,1,172595.78,570863.16,175194.84,572987.91,635899.1495,949616.9535,172595.78,572987.91,16000
B6230,Geophone : New Borehole pick3040(OYO-JAPAN),5183,,,,1,1,218617.9,548946,220155.6,548848.9,808230.176,511713.4177,218617.9,548848.9,700
B6266,SAS3000,5183,,,,2,1,203851.898,412716.868,203906.382,412844.769,384253.7069,836209.4852,203851.898,412716.868,20000
B6266,SAS3000,5183,,,,3,1,203906.382,412844.769,203918.304,412877.717,360577.5713,845826.0092,203906.382,412844.769,180
B6266,SAS3000,5183,,,,4,1,203905.794,412844.769,203999.643,412812.627,639520.2291,263652.1417,203905.794,412844.769,50
B6266,SAS3000,5183,,,,5,1,203999.643,412812.627,204080.656,412720.972,508952.495,67799.76142,203999.643,412812.627,6100
B6266,SAS3000,5183,,,,6,1,204026.393,412623.024,203909.587,412681.297,-207869.7134,618112.9909,204026.393,412623.024,1030
B6266,SAS3000,5183,,,,7,1,203988.017,412658.586,203923.325,412568.72,-64950.19642,39067.2892,203988.017,412658.586,175
B6266,SAS3000,5183,,,,1,1,203777.903,412864.362,204074.452,412713.702,614256.4934,204322.4191,203777.903,412864.362,3400
B6266,SAS3000,5183,,,,2,2,203851.898,412716.868,203906.382,412844.769,384308.1053,836337.1852,203906.382,412844.769,180
B6266,SAS3000,5183,,,,1,2,203777.903,412864.362,204074.452,412713.702,614253.1693,204324.1079,204074.452,412713.702,1030
B6266,SAS3000,5183,,,,7,2,203988.017,412658.586,203923.325,412568.72,-64886.38149,39155.9367,203923.325,412568.72,100
B6266,SAS3000,5183,,,,5,2,203999.643,412812.627,204080.656,412720.972,508921.8555,67834.4259,204080.656,412720.972,570
B6266,SAS3000,5183,,,,3,2,203906.382,412844.769,203918.304,412877.717,360589.4192,845858.7523,203918.304,412877.717,570
B6266,SAS3000,5183,,,,4,2,203905.794,412844.769,203999.643,412812.627,639532.2928,263648.01,203999.643,412812.627,520
B6266,SAS3000,5183,,,,6,2,204026.393,412623.024,203909.587,412681.297,-207870.1445,618113.2061,203909.587,412681.297,320
B6375,ABEM SAS-1000,5183,,,,1,1,161066.41,473911.97,161806.2,473576.09,616826.159,266986.8749,161066.41,473911.97,5000
B6375,ABEM SAS-1000,5183,,,,3,1,165810.95,470501.07,165829.58,470320.43,216988.2583,-25730.13733,165810.95,470501.07,5000
B6375,ABEM SAS-1000,5183,,,,2,1,163959.04,472819.25,164423.21,472521.5,585184.4384,202616.0419,163959.04,472819.25,1000
B6375,ABEM SAS-1000,5183,,,,2,2,163959.04,472819.25,164423.21,472521.5,585075.8974,202685.6676,164423.21,472521.5,1000
B6375,ABEM SAS-1000,5183,,,,1,2,161066.41,473911.97,161806.2,473576.09,616753.9474,267019.6606,161806.2,473576.09,5000
B6375,ABEM SAS-1000,5183,,,,3,2,165810.95,470501.07,165829.58,470320.43,216971.4163,-25566.83177,165829.58,470320.43,5000
B7067,Terrameter SAS 300,5183,,,,4,1,196789.35,180686.65,196739.17,180436.7,144203.6318,-81245.50916,196789.35,180686.65,0
B7067,Terrameter SAS 300,5183,,,,3,1,196608.05,179951.64,196661.59,179726.79,258345.806,-79327.6834,196608.05,179951.64,0
B7067,Terrameter SAS 300,5183,,,,2,1,196676.5,180242.89,196585.26,179874.27,132578.9437,-78717.81806,196676.5,180242.89,0
B7067,Terrameter SAS 300,5183,,,,1,1,196689.4,180373.51,196656.3,180169.14,154022.119,-83066.85576,196689.4,180373.51,0
B7067,Terrameter SAS 300,5183,,,,3,2,196608.05,179951.64,196661.59,179726.79,258319.807,-79218.49539,196661.59,179726.79,0
B7067,Terrameter SAS 300,5183,,,,2,2,196676.5,180242.89,196585.26,179874.27,114500.913,-151754.9178,196585.26,279874.27,0
B7067,Terrameter SAS 300,5183,,,,1,2,196689.4,180373.51,196656.3,180169.14,154048.0982,-82906.45262,196656.3,180169.14,0
B7067,Terrameter SAS 300,5183,,,,4,2,196789.35,180686.65,196739.17,180436.7,144244.1733,-81043.57011,196739.17,180436.7,0
B7153,Terramer SAS 4000,5183,,,,1,1,263041.223,427468.788,264042.579,427663.422,263041.223,427468.788,0,0,1000
B7153,Terramer SAS 4000,5183,,,,2,1,263035.953,427502.909,264037.305,427697.055,263035.953,427502.909,0,0,1000
B7153,Terramer SAS 4000,5183,,,,2,2,263035.953,427502.909,264037.305,427697.055,263065.4049,427508.6193,5.71,29.452,3000
B7153,Terramer SAS 4000,5183,,,,1,2,263041.223,427468.788,264042.579,427663.422,263091.7773,427478.6143,9.802,50.559,3000
B7153,Terramer SAS 4000,5183,,,,2,3,263035.953,427502.909,264037.305,427697.055,263969.0761,427683.8265,180.918,933.123,3000
B7153,Terramer SAS 4000,5183,,,,1,3,263041.223,427468.788,264042.579,427663.422,263975.243,427650.3339,181.108,934.105,3000
B7153,Terramer SAS 4000,5183,,,,1,4,263041.223,427468.788,264042.579,427663.422,264042.579,427663.422,194.634,1001.356,1000
B7153,Terramer SAS 4000,5183,,,,2,4,263035.953,427502.909,264037.305,427697.055,264037.306,427697.0552,194.146,1001.353,1000
B7227,OYO Mc-ohm profiler,5183,,,,3,1,333874.15,243028.26,333898.89,243161.99,408996.5965,649096.3592,333874.15,243028.26,2642
B7227,OYO Mc-ohm profiler,5183,,,,4,1,333888.58,243044.09,333913.32,243177.82,409014.8435,649132.8218,333888.58,243044.09,8918
B7227,OYO Mc-ohm profiler,5183,,,,1,1,333869.37,243029.27,333894.12,243163,409020.5808,649088.7211,333869.37,243029.27,3156
B7227,OYO Mc-ohm profiler,5183,,,,2,1,333909.16,243034.52,333894.9,243163.74,288609.103,653533.0095,333909.16,243034.52,4764
B7227,OYO Mc-ohm profiler,5183,,,,5,1,333898.21,243042.94,333922.95,243176.67,409025.7668,649138.6621,333898.21,243042.94,5620
B7336,,,,,,,,,,,,,,,,
F0532,"TERRA METER LS2(ABEM, SWEDEN)",,에스이,2023-09-23,2023-09-23,,,,,,,,,,,
F0534,"TERRA METER LS2(ABEM, SWEDEN)",,에스이,2023-09-23,2023-09-23,,,,,,,,,,,
F0666,"TERRA METER LS2(ABEM, SWEDEN)",5186,건영엔지니어링,2020-10-21,2020-10-21,,,,,,,,,,,
F0691,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2020-09-26,2020-09-26,,,,,,,,,,,
F0692,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2020-09-25,2020-09-25,,,,,,,,,,,
F0694,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2020-09-25,2020-09-25,,,,,,,,,,,
F0696,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2020-09-25,2020-09-25,,,,,,,,,,,
F0697,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2020-09-25,2020-09-25,,,,,,,,,,,
F0719,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2023-08-22,2023-08-22,,,,,,,,,,,
F0732,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2023-08-21,2023-08-21,,,,,,,,,,,
F0736,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2023-03-06,2023-03-06,,,,,,,,,,,
F0737,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2023-03-06,2023-03-06,,,,,,,,,,,
F0751,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2023-03-06,2023-03-06,,,,,,,,,,,
F0765,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2023-03-06,2023-03-06,,,,,,,,,,,
F0773,"TERRA METER LS2(ABEM, SWEDEN)",,건영엔지니어링,2023-11-17,2023-11-17,,,,,,,,,,,
F1119,"TERRA METER LS2(ABEM, SWEDEN)",,(주)예성이앤씨,2023-05-02,2023-05-03,,,,,,,,,,,
F1216,AGI Supersting(R8),5187,,2024-01-01,2023-12-30,1,1,143999.5033,244726.9055,244131.792,144005.8317,,,1111111111,1111111111,1111111111
W2856,,5176,,,,,,,,,,,,,,
W2966,,,,,,,,,,,,,,,,
W3058,,5183,,,,,,,,,,,,,,
W3186,,,,,,,,,,,,,,,,
W3328,"Super Sting R8/IP(미국, AGI사)",5183,,,,1,1,203392.3295,398069.2925,204000.2902,397844.8346,,,426,520,300
W3328,"Super Sting R8/IP(미국, AGI사)",5183,,,,1,2,203392.3295,398069.2925,204000.2902,397844.8346,,,464,547,300
W3328,"Super Sting R8/IP(미국, AGI사)",5183,,,,1,3,203392.3295,398069.2925,204000.2902,397844.8346,,,503,533,300
W3328,"Super Sting R8/IP(미국, AGI사)",5183,,,,1,4,203392.3295,398069.2925,204000.2902,397844.8346,,,534,557,300
W3508,,,,,,,,,,,,,,,,
W3551,,,,,,,,,,,,,,,,
W3972,,,,,,,,,,,,,,,,
W4180,,5183,,2020-04-01,2020-04-03,,,,,,,,,,,
W4888,Resistivity Meter,5183,원유찬,2019-12-26,2019-12-27,1,1,169068.7935,557302.6211,169368.758,557312.9602,,,0,300,5000
W4905,Terrameter LS 2,,이동권,2021-02-15,2021-03-08,,,,,,,,,,,
W5124,Terrameter LS,5183,명효진,2021-03-27,2021-03-27,1,1,202676.4,512127.3,202709.2,512054.3,,,0,80,0
W5124,Terrameter LS,5183,명효진,2021-03-27,2021-03-27,1,2,202676.4,512127.3,202709.2,512054.3,,,0,80,0
W5124,Terrameter LS,5183,명효진,2021-03-27,2021-03-27,1,3,202676.4,512127.3,202709.2,512054.3,,,35,0,0
W5124,Terrameter LS,5183,명효진,2021-03-27,2021-03-27,1,4,202676.4,512127.3,202709.2,512054.3,,,35,0,0
W6522,AGI Sting(USA),5183,Soil,2017-03-02,2017-03-02,,,,,,,,,,,
W6721,Terrameter SAS 1000,5183,박효신,2022-05-10,2022-05-10,,,,,,,,,,,
W7120,Terramer,5183,강토,2020-10-30,2020-11-10,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-20,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9101,전탐장비 1식(SAS-1000),5183,권오일,2020-05-15,2020-05-20,,,,,,,,,,,
W9778,"LS System(ABEM Instrument, 스웨덴)",5183,(주)경안엔지니어링,2020-06-22,2020-07-31,,,,,,,,,,,
W9842,ABEM MARK 6,5183,나노테크이엔지,2021-01-01,2021-01-04,,,,,,,,,,,
W9902,ABEM SAS 1000(Sweden),5183,동성지오텍,2020-05-18,2020-05-22,1,1,205213.5,458689.7,204940.7,461615.4,,,205213.5,458689.7,0
W9902,ABEM SAS 1000(Sweden),5183,동성지오텍,2020-05-18,2020-05-22,1,2,205213.5,458689.7,204940.7,461615.4,,,204940.7,461615.4,0
W9910,,5186,,2020-09-01,2020-09-30,,,,,,,,,,,
W9911,ABEM MARK 6,5183,나노테크이엔지,2020-11-02,2020-11-06,,,,,,,,,,,
X3135,Supersting R8,5183,김종형,2021-02-01,2021-02-28,,,,,,,,,,,
X3135,Supersting R8,5183,김종형,2021-02-01,2021-02-28,,,,,,,,,,,
X3264,Terrameter LS2,5183,(주)지오비전,2020-10-29,2020-11-10,,,,,,,,,,,
X4616,"Supersting R8, Supersting R8(AGI, U.S.A)",5183,도진엔지니어링,2020-11-25,2020-11-30,,,,,,,,,,,
X5499,"Terrameter LS2(Abem사,스웨덴)",5183,신동식,2022-05-30,2022-05-30,,,,,,,,,,,
X5582,"Supersting R8 (AGI, U.S.A)",5183,㈜한세지반,2021-11-16,2021-11-19,,,,,,,,,,,
X5668,"McOHM RESISTIVITY METER(OYO, JAPAN)",5183,지오텍엔지니어링,2021-12-06,2021-12-20,2,1,166151.7,556621.8,166312.3,556554.4,,,67.3,0,0
X5668,"McOHM RESISTIVITY METER(OYO, JAPAN)",5183,지오텍엔지니어링,2021-12-06,2021-12-20,1,1,165355,557188.8,165535,557169.3,,,19.5,0,0
X6606,LS2,5186,산이건설,2022-04-11,2022-04-11,,,,,,,,,,,
X6608,LS2,5186,산이건설,2022-11-11,2022-11-11,,,,,,,,,,,
X6611,LS2,5186,산이건설,2022-11-09,2022-11-09,,,,,,,,,,,
X6622,"TERRA METER LS2(ABEM, SWEDEN)",4019,(주)다산씨앤에스,,,,,,,,,,,,,
X6623,"TERRA METER LS2(ABEM, SWEDEN)",4019,(주)다산씨앤에스,,,,,,,,,,,,,
X6624,"TERRA METER LS2(ABEM, SWEDEN)",,(주)다산씨앤에스,2021-05-04,2021-05-06,,,,,,,,,,,
X6625,"TERRA METER LS2(ABEM, SWEDEN)",,(주)다산씨앤에스,2021-05-05,2021-05-07,,,,,,,,,,,
X6626,"TERRA METER LS2(ABEM, SWEDEN)",4019,(주)다산씨앤에스,2021-05-05,2021-05-07,,,,,,,,,,,
X6890,ABEM SAS-1000,,,,,,,,,,,,,,,
X6890,ABEM SAS-1000,,,,,,,,,,,,,,,
X8521,Terrameter SAS 4000,,,,,1,1,0,0,0,0,,,0,0,133.32
X8521,Terrameter SAS 4000,,,,,2,1,0,0,0,0,,,0,0,695.17
X8521,Terrameter SAS 4000,,,,,3,1,0,0,0,0,,,0,0,248.78
